id	geography	time	lat	long
Cossypha_semirufa__135926_	choke	historical	10.55	37.47
Cossypha_semirufa__135927_	choke	historical	11.25	36.86
Cossypha_semirufa__166955_	central	historical	8.53	37.97
Cossypha_semirufa__166956_	central	historical	9.01	38.76
Cossypha_semirufa__83273_	east	historical	7.96	40.74
Cossypha_semirufa__83276_	east	historical	7.92	39.38
Cossypha_semirufa__EB008_	east	modern	7.095	39.789
Cossypha_semirufa__EB009_	east	modern	7.095	39.789
Cossypha_semirufa__EB024_	east	modern	6.717	39.725
Cossypha_semirufa__EB044_	central	modern	8.966	38.563
Cossypha_semirufa__EB062_	central	modern	8.967	38.572
Cossypha_semirufa__EB069_	choke	modern	10.781	37.66
Cossypha_semirufa__EB085_	choke	modern	10.781	37.66
Cossypha_semirufa__EB087_	choke	modern	10.781	37.66
Crithagra_striolata__83941_	choke	historical	10.64	38.16
Crithagra_striolata__83942_	choke	historical	10.64	38.16
Crithagra_striolata__83943_	choke	historical	10.82	38.25
Crithagra_striolata__83945_	central	historical	9.51	38.66
Crithagra_striolata__83949_	east	historical	7.92	39.38
Crithagra_striolata__83950_	east	historical	7.92	39.38
Crithagra_striolata__83951_	east	historical	7.92	39.38
Crithagra_striolata__EB020_	east	modern	7.095	39.789
Crithagra_striolata__EB021_	east	modern	7.095	39.789
Crithagra_striolata__EB071_	choke	modern	10.781	37.66
Crithagra_striolata__EB080_	choke	modern	10.781	37.66
Crithagra_striolata__EB083_	choke	modern	10.781	37.66
Crithagra_tristriata__152449_	central	historical	9.01	38.76
Crithagra_tristriata__152450_	central	historical	9.01	38.76
Crithagra_tristriata__83927_	east	historical	8.3	39.49
Crithagra_tristriata__83929_	east	historical	7.82	39.44
Crithagra_tristriata__83930_	central	historical	9.51	38.66
Crithagra_tristriata__83931_	choke	historical	10.64	38.16
Crithagra_tristriata__83933_	choke	historical	10.45	38.32
Crithagra_tristriata__83934_	choke	historical	10.67	37.43
Crithagra_tristriata__EB007_	east	modern	7.095	39.789
Crithagra_tristriata__EB015_	east	modern	7.095	39.789
Crithagra_tristriata__EB043_	central	modern	8.966	38.563
Crithagra_tristriata__EB058_	central	modern	8.967	38.572
Crithagra_tristriata__EB064_	central	modern	8.967	38.572
Crithagra_tristriata__EB086_	choke	modern	10.781	37.66
Crithagra_tristriata__EB092_	choke	modern	10.781	37.66
Crithagra_tristriata__EB094_	choke	modern	10.781	37.66
