id	geography	time
Cossypha_semirufa__135926_	choke	historical
Cossypha_semirufa__135927_	choke	historical
Cossypha_semirufa__166955_	central	historical
Cossypha_semirufa__166956_	central	historical
Cossypha_semirufa__83273_	east	historical
Cossypha_semirufa__83276_	east	historical
Cossypha_semirufa__EB008_	east	modern
Cossypha_semirufa__EB009_	east	modern
Cossypha_semirufa__EB024_	east	modern
Cossypha_semirufa__EB044_	central	modern
Cossypha_semirufa__EB062_	central	modern
Cossypha_semirufa__EB069_	choke	modern
Cossypha_semirufa__EB085_	choke	modern
Cossypha_semirufa__EB087_	choke	modern
Crithagra_striolata__83941_	choke	historical
Crithagra_striolata__83942_	choke	historical
Crithagra_striolata__83943_	choke	historical
Crithagra_striolata__83945_	central	historical
Crithagra_striolata__83949_	east	historical
Crithagra_striolata__83950_	east	historical
Crithagra_striolata__83951_	east	historical
Crithagra_striolata__EB014_	east	modern
Crithagra_striolata__EB020_	east	modern
Crithagra_striolata__EB021_	east	modern
Crithagra_striolata__EB071_	choke	modern
Crithagra_striolata__EB080_	choke	modern
Crithagra_striolata__EB083_	choke	modern
Crithagra_tristriata__152449_	central	historical
Crithagra_tristriata__152450_	central	historical
Crithagra_tristriata__83927_	east	historical
Crithagra_tristriata__83929_	east	historical
Crithagra_tristriata__83930_	central	historical
Crithagra_tristriata__83931_	choke	historical
Crithagra_tristriata__83933_	choke	historical
Crithagra_tristriata__83934_	choke	historical
Crithagra_tristriata__EB007_	east	modern
Crithagra_tristriata__EB015_	east	modern
Crithagra_tristriata__EB043_	central	modern
Crithagra_tristriata__EB058_	central	modern
Crithagra_tristriata__EB064_	central	modern
Crithagra_tristriata__EB086_	choke	modern
Crithagra_tristriata__EB092_	choke	modern
Crithagra_tristriata__EB094_	choke	modern
Melaenornis_chocolatinus__83048_	east	historical
Melaenornis_chocolatinus__83053_	east	historical
Melaenornis_chocolatinus__83054_	choke	historical
Melaenornis_chocolatinus__83055_	choke	historical
Melaenornis_chocolatinus__83056_	choke	historical
Melaenornis_chocolatinus__EB002_	east	modern
Melaenornis_chocolatinus__EB003_	east	modern
Melaenornis_chocolatinus__EB053_	central	modern
Melaenornis_chocolatinus__EB059_	central	modern
Melaenornis_chocolatinus__EB063_	central	modern
Melaenornis_chocolatinus__EB067_	east	modern
Melaenornis_chocolatinus__EB084_	choke	modern
Nectarinia_tacazze__83648_	east	historical
Nectarinia_tacazze__83649_	east	historical
Nectarinia_tacazze__83650_	east	historical
Nectarinia_tacazze__83651_	central	historical
Nectarinia_tacazze__83652_	central	historical
Nectarinia_tacazze__83653_	central	historical
Nectarinia_tacazze__83656_	choke	historical
Nectarinia_tacazze__83658_	choke	historical
Nectarinia_tacazze__EB005_	east	modern
Nectarinia_tacazze__EB018_	east	modern
Nectarinia_tacazze__EB029_	east	modern
Nectarinia_tacazze__EB072_	choke	modern
Nectarinia_tacazze__EB074_	choke	modern
Nectarinia_tacazze__EB075_	choke	modern
Sylvia_galinieri__82972_	east	historical
Sylvia_galinieri__82978_	east	historical
Sylvia_galinieri__82979_	east	historical
Sylvia_galinieri__82980_	choke	historical
Sylvia_galinieri__EB004_	east	modern
Sylvia_galinieri__EB017_	east	modern
Sylvia_galinieri__EB056_	central	modern
Sylvia_galinieri__EB070_	choke	modern
Sylvia_galinieri__EB073_	choke	modern
Sylvia_galinieri__EB076_	choke	modern
Turdus_abyssinicus__83107_	east	historical
Turdus_abyssinicus__83109_	east	historical
Turdus_abyssinicus__83113_	choke	historical
Turdus_abyssinicus__83114_	central	historical
Turdus_abyssinicus__83115_	east	historical
Turdus_abyssinicus__83117_	choke	historical
Turdus_abyssinicus__83122_	central	historical
Turdus_abyssinicus__EB001_	east	modern
Turdus_abyssinicus__EB006_	east	modern
Turdus_abyssinicus__EB010_	east	modern
Turdus_abyssinicus__EB042_	central	modern
Turdus_abyssinicus__EB045_	central	modern
Turdus_abyssinicus__EB046_	central	modern
Turdus_abyssinicus__EB079_	choke	modern
Turdus_abyssinicus__EB088_	choke	modern
Turdus_abyssinicus__EB093_	choke	modern
Zosterops_poliogastrus__83630_	east	historical
Zosterops_poliogastrus__83631_	east	historical
Zosterops_poliogastrus__83632_	choke	historical
Zosterops_poliogastrus__83633_	choke	historical
Zosterops_poliogastrus__83635_	choke	historical
Zosterops_poliogastrus__83636_	east	historical
Zosterops_poliogastrus__EB013_	east	modern
Zosterops_poliogastrus__EB049_	central	modern
Zosterops_poliogastrus__EB050_	central	modern
Zosterops_poliogastrus__EB051_	central	modern
Zosterops_poliogastrus__EB065_	east	modern
Zosterops_poliogastrus__EB081_	choke	modern
Zosterops_poliogastrus__EB089_	choke	modern
Zosterops_poliogastrus__EB090_	choke	modern
